Date,O,H,L,C
1495166400,144.138,144.327,143.824,144.279
1495180800,144.28,145.318,144.003,144.977
1495195200,144.978,145.213,144.677,144.979
1495209600,144.983,145.385,144.554,145.125
1495224000,145.123,145.225,144.802,144.964
1495411200,144.366,144.999,144.316,144.691
1495425600,144.691,145.085,144.684,144.96
1495440000,144.958,145,144.13,144.554
1495454400,144.555,145.02,144.471,144.729
1495468800,144.73,144.938,144.382,144.614
1495483200,144.619,144.696,144.435,144.683
1495497600,144.671,144.719,144.046,144.275
1495512000,144.278,144.494,144.038,144.39
1495526400,144.391,144.583,143.76,144.424
1495540800,144.424,144.522,144.085,144.402
1495555200,144.402,145.146,144.082,144.926
1495569600,144.926,145.03,144.747,144.847
1495584000,144.847,145.095,144.812,144.998
1495598400,144.999,145.198,144.896,145.112
1495612800,145.112,145.409,145.025,145.314
1495627200,145.314,145.381,144.778,144.985
1495641600,144.986,145.164,144.787,144.879
1495656000,144.88,144.987,144.505,144.584
1495670400,144.586,144.861,144.533,144.765
1495684800,144.765,144.971,144.685,144.949
1495699200,144.952,145.442,144.898,145.047
1495713600,145.047,145.126,144.676,144.88
1495728000,144.88,144.964,144.65,144.801
1495742400,144.799,144.868,144.548,144.708
1495756800,144.682,144.75,144.113,144.304
1495771200,144.308,144.311,143.66,143.66
1495785600,143.659,143.673,142.788,142.912
1495800000,142.912,143.042,142.271,142.444
1495814400,142.447,142.684,142.132,142.494
1495828800,142.484,142.615,142.34,142.496
1496016000,142.389,142.867,142.358,142.799
1496030400,142.799,142.903,142.679,142.763
1496044800,142.764,143.077,142.691,142.966
1496059200,142.967,143.057,142.917,143.051
1496073600,143.051,143.077,142.769,142.854
1496088000,142.859,142.985,142.805,142.833
1496102400,142.811,142.909,142.072,142.1
1496116800,142.106,142.226,141.828,142.083
1496131200,142.083,142.965,141.943,142.608
1496145600,142.607,143.094,142.484,142.901
1496160000,142.902,143.025,142.172,142.297
1496174400,142.295,142.531,142.208,142.455
1496188800,142.455,142.55,141.752,142.218
1496203200,142.218,142.657,142.145,142.221
1496217600,142.221,142.325,141.485,141.682
1496232000,141.681,142.446,141.593,142.387
1496246400,142.386,142.907,142.118,142.642
1496260800,142.639,142.792,142.458,142.765
1496275200,142.765,142.898,142.52,142.856
1496289600,142.857,143.058,142.736,142.86
1496304000,142.859,143.22,142.548,143.054
1496318400,143.059,143.264,142.524,143.221
1496332800,143.225,143.702,143.225,143.503
1496347200,143.504,143.563,143.298,143.438
1496361600,143.405,143.95,143.39,143.895
1496376000,143.895,143.913,143.649,143.682
1496390400,143.681,143.834,143.388,143.417
1496404800,143.417,143.542,142.588,142.653
1496419200,142.653,142.657,142.018,142.323
1496433600,142.323,142.435,142.189,142.288
1496620800,141.965,142.306,141.959,142.109
1496635200,142.109,142.339,142.07,142.327
1496649600,142.327,142.496,142.108,142.426
