O,H,L,C
16546.51,16546.52,16490.0,16529.99
16529.87,16530.0,16403.0,16415.0
16415.0,16529.33,16414.99,16450.01
16450.01,16450.01,16333.21,16345.6
16345.6,16350.5,15950.0,16013.46
16013.46,16060.3,15750.0,16028.94
16028.94,16250.0,16000.73,16250.0
16250.0,16366.98,16007.0,16012.85
16012.85,16147.0,15950.01,16021.31
16021.3,16021.31,15700.0,15735.11
15735.12,15974.03,15555.0,15974.03
15974.03,16007.87,15750.0,15790.18
15790.17,15805.58,15545.62,15610.0
15610.0,15700.0,15500.0,15500.0
15500.01,15734.99,15460.0,15630.39
15630.39,15885.53,15630.39,15881.99
15881.99,15897.5,15819.87,15897.5
15897.5,16157.85,15897.49,16157.85
16157.85,16206.99,15875.0,15950.0
15950.0,15999.0,15752.0,15874.79
15874.8,15874.8,15642.08,15720.0
15720.0,15919.99,15720.0,15843.02
15839.49,15934.0,15756.93,15934.0
